Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDQ51,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,614.5334
NCH07,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,1426.1436
FDP44,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1537.998
NCP55,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,939.4438
FDO09,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,3418.883
FDP38,Low Fat,Canned,OUT049,1999,Tier 1,Supermarket Type1,404.8064
FDI48,Regular,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,974.0654
FDS58,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,2406.867
FDJ55,Regular,Meat,OUT035,2004,Tier 2,Supermarket Type1,5626.01
NCF06,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,5956.9126
FDF41,Low Fat,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,6404.996
NCL05,Low Fat,Health and Hygiene,OUT019,1985,Tier 1,Grocery Store,216.385
FDT24,Regular,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,1158.492
FDK08,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,202.4032
FDU55,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,2342.9502
NCY18,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,2976.7918
FDS11,Regular,Breads,OUT046,1997,Tier 1,Supermarket Type1,3131.9232
FDC28,Low Fat,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,108.5254
FDR59,Regular,Breads,OUT046,1997,Tier 1,Supermarket Type1,4448.2098
DRE15,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,1442.1228
FDP19,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,2841.6344
DRN47,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,2876.256
FDJ34,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1001.3632
FDX21,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,982.7208
FDI57,Low Fat,Seafood,OUT027,1985,Tier 3,Supermarket Type3,3547.3824
NCI42,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,3125.931
FDL03,Regular,Meat,OUT045,2002,Tier 2,Supermarket Type1,3142.576
FDX37,Low Fat,Canned,OUT013,1987,Tier 3,Supermarket Type1,1398.18
FDW57,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,4427.57
FDX14,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,1956.1204
FDD09,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,3078.6592
FDM09,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,1018.674
NCW54,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,687.1056
DRL11,low fat,Hard Drinks,OUT027,1985,Tier 3,Supermarket Type3,3787.0704
FDJ58,Regular,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,2748.4224
FDX21,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,109.1912
FDA20,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,2609.936
FDL34,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,4516.7872
FDL38,Regular,Canned,OUT027,1985,Tier 3,Supermarket Type3,2319.6472
DRL11,Low Fat,Hard Drinks,OUT018,2009,Tier 3,Supermarket Type2,3629.2758
FDO40,Low Fat,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,2087.9488
DRZ24,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1557.972
FDM52,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,2364.9216
FDM52,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,4138.6128
FDV49,low fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,3171.8712
FDF47,Low Fat,Starchy Foods,OUT017,2007,Tier 2,Supermarket Type1,2243.746
FDF56,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,724.3904
FDW12,Regular,Baking Goods,OUT010,1998,Tier 3,Grocery Store,145.1444
FDY09,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,175.1054
FDY55,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,4111.9808
FDU36,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,492.692
NCR06,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,1022.6688
FDW24,Low Fat,Baking Goods,OUT046,1997,Tier 1,Supermarket Type1,194.4136
FDF16,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,2808.3444
NCR18,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,852.224
DRD01,Regular,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,828.921
FDS15,Regular,Meat,OUT045,2002,Tier 2,Supermarket Type1,323.5788
FDT19,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,2942.836
FDE59,Low Fat,Starchy Foods,OUT013,1987,Tier 3,Supermarket Type1,359.532
FDE04,Regular,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,719.064
NCV17,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,2360.9268
FDC17,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,2735.1064
FDI45,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,3677.2134
FDZ33,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,3842.9976
FDJ56,Low Fat,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,199.74
FDN25,Regular,Breakfast,OUT013,1987,Tier 3,Supermarket Type1,171.7764
FDC10,Regular,Snack Foods,OUT019,1985,Tier 1,Grocery Store,120.5098
FDQ22,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,628.5152
NCR54,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2946.165
DRK11,Low Fat,Hard Drinks,OUT035,2004,Tier 2,Supermarket Type1,1789.6704
DRI37,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,468.7232
FDX37,Low Fat,Canned,OUT049,1999,Tier 1,Supermarket Type1,1597.92
FDF05,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,3681.874
FDW36,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,317.5866
FDI04,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,1977.426
FDB04,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,1230.3984
FDU38,Low Fat,Dairy,OUT035,2004,Tier 2,Supermarket Type1,4410.2592
FDY28,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,1496.0526
FDP20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1012.016
FDC29,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,2862.94
FDR45,Low Fat,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,6692.6216
NCC42,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,1404.838
NCF42,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,2812.3392
FDZ45,Low Fat,Snack Foods,OUT010,1998,Tier 3,Grocery Store,992.042
FDB23,Regular,Starchy Foods,OUT017,2007,Tier 2,Supermarket Type1,5191.2426
FDC41,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,1148.505
FDA10,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,245.0144
NCM26,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,2909.546
FDZ58,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,122.5072
FDW35,Low Fat,Breads,OUT035,2004,Tier 2,Supermarket Type1,1468.089
FDX32,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1733.7432
FDK40,Low Fat,Frozen Foods,OUT018,2009,Tier 3,Supermarket Type2,5785.802
FDD04,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,1985.4156
FDP28,Regular,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,4175.8976
NCL42,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,6615.3888
DRB13,Regular,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,569.259
FDC33,Regular,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,2759.0752
FDO58,Low Fat,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,2631.2416
FDE34,Low Fat,Snack Foods,OUT010,1998,Tier 3,Grocery Store,363.5268
NCE19,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,1037.3164
NCJ18,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,355.5372
FDF52,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,3283.7256
FDY04,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,1468.089
DRF49,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,1138.518
FDX27,Regular,Dairy,OUT010,1998,Tier 3,Grocery Store,189.0872
FDV28,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,339.558
FDE33,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,314.2576
FDQ37,Low Fat,Breakfast,OUT013,1987,Tier 3,Supermarket Type1,6006.1818
NCG30,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,2988.1104
NCH29,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,1761.7068
FDV20,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,3560.6984
FDG57,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,874.8612
FDU60,Regular,Baking Goods,OUT035,2004,Tier 2,Supermarket Type1,2874.9244
NCH30,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,113.186
NCM29,Low Fat,Health and Hygiene,OUT010,1998,Tier 3,Grocery Store,262.3252
FDB12,Regular,Baking Goods,OUT018,2009,Tier 3,Supermarket Type2,2181.1608
FDD53,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,503.3448
FDI44,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1853.5872
FDW56,Low Fat,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,7504.2318
FDA01,Regular,Canned,OUT018,2009,Tier 3,Supermarket Type2,644.4944
FDG47,Low Fat,Starchy Foods,OUT013,1987,Tier 3,Supermarket Type1,2885.5772
FDT40,Low Fat,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,1017.3424
FDU20,Regular,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,2530.7058
NCP41,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,1617.894
FDW36,Low Fat,Baking Goods,OUT027,1985,Tier 3,Supermarket Type3,2328.9684
FDN31,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1328.271
NCU54,Low Fat,Household,OUT010,1998,Tier 3,Grocery Store,209.727
FDS01,Low Fat,Canned,OUT046,1997,Tier 1,Supermarket Type1,1244.3802
FDA23,Low Fat,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,1518.024
FDY08,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,1685.8056
FDJ28,Low Fat,Frozen Foods,OUT046,1997,Tier 1,Supermarket Type1,3078.6592
DRF36,Low Fat,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,2866.269
FDH44,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,294.2836
NCY54,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2069.3064
FDR59,Regular,Breads,OUT010,1998,Tier 3,Grocery Store,1046.6376
DRA59,Regular,Soft Drinks,OUT046,1997,Tier 1,Supermarket Type1,4442.2176
FDS55,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1930.1542
FDZ28,Regular,Frozen Foods,OUT045,2002,Tier 2,Supermarket Type1,1780.3492
DRG49,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,7086.1094
FDH21,Low Fat,Seafood,OUT019,1985,Tier 1,Grocery Store,316.9208
NCN19,Low Fat,Others,OUT013,1987,Tier 3,Supermarket Type1,3415.554
FDP25,Low Fat,Canned,OUT045,2002,Tier 2,Supermarket Type1,5241.1776
DRH59,Low Fat,Hard Drinks,OUT046,1997,Tier 1,Supermarket Type1,1025.332
FDH09,Low Fat,Seafood,OUT035,2004,Tier 2,Supermarket Type1,473.3838
NCK54,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2912.875
FDT21,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,5976.2208
FDR12,Regular,Baking Goods,OUT019,1985,Tier 1,Grocery Store,687.1056
FDS25,Regular,Canned,OUT017,2007,Tier 2,Supermarket Type1,2984.1156
NCL05,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,1255.033
NCI30,Low Fat,Household,OUT017,2007,Tier 2,Supermarket Type1,3695.19
FDJ26,Regular,Canned,OUT045,2002,Tier 2,Supermarket Type1,1068.609
FDA56,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,1583.9382
FDM33,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,661.1394
FDP04,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,958.752
FDR55,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,2836.308
NCZ54,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,5523.4768
NCA53,low fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,972.068
FDL20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,3002.0922
FDT26,Regular,Dairy,OUT035,2004,Tier 2,Supermarket Type1,1198.44
NCZ06,Low Fat,Household,OUT046,1997,Tier 1,Supermarket Type1,4566.0564
FDA04,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,4402.9354
FDD29,Low Fat,Frozen Foods,OUT027,1985,Tier 3,Supermarket Type3,4819.7262
FDS56,Regular,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,6033.4796
FDT07,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,1537.998
FDT58,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,2181.1608
FDJ10,Regular,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,4916.933
FDN25,Regular,Breakfast,OUT035,2004,Tier 2,Supermarket Type1,801.6232
DRC27,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,1474.0812
FDA38,Low Fat,Dairy,OUT049,1999,Tier 1,Supermarket Type1,3605.307
FDM56,Low Fat,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,873.5296
NCI43,Low Fat,Household,OUT013,1987,Tier 3,Supermarket Type1,575.2512
FDP36,Regular,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,860.2136
DRK49,Low Fat,Soft Drinks,OUT019,1985,Tier 1,Grocery Store,40.6138
FDW32,Regular,Fruits and Vegetables,OUT019,1985,Tier 1,Grocery Store,515.3292
NCW18,Low Fat,Household,OUT049,1999,Tier 1,Supermarket Type1,2133.2232
FDQ44,Low Fat,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,2181.1608
FDL45,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,2253.0672
DRB48,Regular,Soft Drinks,OUT035,2004,Tier 2,Supermarket Type1,746.3618
FDQ34,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1482.0708
FDH17,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,1272.3438
FDN08,Regular,Fruits and Vegetables,OUT010,1998,Tier 3,Grocery Store,117.8466
FDK57,Low Fat,Snack Foods,OUT027,1985,Tier 3,Supermarket Type3,4434.228
FDK10,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,719.064
FDL39,Regular,Dairy,OUT027,1985,Tier 3,Supermarket Type3,1263.0226
FDP25,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,6114.7072
FDC05,Regular,Frozen Foods,OUT035,2004,Tier 2,Supermarket Type1,2167.8448
FDA39,Low Fat,Meat,OUT013,1987,Tier 3,Supermarket Type1,942.7728
FDZ10,Low Fat,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1897.53
FDK08,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,2631.2416
DRD24,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,2978.1234
DRG48,Low Fat,Soft Drinks,OUT018,2009,Tier 3,Supermarket Type2,2332.9632
FDH52,Regular,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,123.8388
FDS25,Regular,Canned,OUT045,2002,Tier 2,Supermarket Type1,1989.4104
NCH43,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,2372.9112
DRK01,Low Fat,Soft Drinks,OUT017,2007,Tier 2,Supermarket Type1,1607.2412
FDD59,Regular,Starchy Foods,OUT017,2007,Tier 2,Supermarket Type1,958.752
FDB27,Low Fat,Dairy,OUT010,1998,Tier 3,Grocery Store,197.0768
FDO22,Regular,Snack Foods,OUT013,1987,Tier 3,Supermarket Type1,1198.44
FDD35,Low Fat,Starchy Foods,OUT045,2002,Tier 2,Supermarket Type1,2277.036
FDR01,Regular,Canned,OUT035,2004,Tier 2,Supermarket Type1,796.2968
NCB31,Low Fat,Household,OUT019,1985,Tier 1,Grocery Store,525.982
FDC35,Low Fat,Starchy Foods,OUT046,1997,Tier 1,Supermarket Type1,3105.957
FDS23,Low Fat,Breads,OUT045,2002,Tier 2,Supermarket Type1,2826.9868
FDC33,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,3153.2288
NCF18,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,5369.0112
FDM36,Regular,Baking Goods,OUT049,1999,Tier 1,Supermarket Type1,3448.844
FDJ53,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,1446.1176
NCL17,Low Fat,Health and Hygiene,OUT018,2009,Tier 3,Supermarket Type2,1567.2932
FDW27,Regular,Meat,OUT027,1985,Tier 3,Supermarket Type3,1396.1826
FDA32,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1078.596
FDA03,Regular,Dairy,OUT010,1998,Tier 3,Grocery Store,291.6204
FDW09,Regular,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,554.6114
FDN09,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,731.0484
FDM08,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,4250.4672
FDX01,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,1514.695
DRO35,Low Fat,Hard Drinks,OUT049,1999,Tier 1,Supermarket Type1,4054.722
FDS31,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,3067.3406
NCM53,Low Fat,Health and Hygiene,OUT049,1999,Tier 1,Supermarket Type1,2343.616
FDI16,Regular,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,852.224
DRF36,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,5350.3688
FDW49,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,4119.3046
FDB58,Regular,Snack Foods,OUT019,1985,Tier 1,Grocery Store,425.4462
NCJ18,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2133.2232
FDL51,Regular,Dairy,OUT045,2002,Tier 2,Supermarket Type1,5145.3024
FDS03,Low Fat,Meat,OUT018,2009,Tier 3,Supermarket Type2,1162.4868
NCO54,low fat,Household,OUT019,1985,Tier 1,Grocery Store,165.7842
FDA48,Low Fat,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,3547.3824
NCK06,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,1211.756
NCZ54,Low Fat,Household,OUT045,2002,Tier 2,Supermarket Type1,2274.3728
FDW39,Regular,Meat,OUT027,1985,Tier 3,Supermarket Type3,4763.799
FDI09,Regular,Seafood,OUT046,1997,Tier 1,Supermarket Type1,5033.448
NCO02,Low Fat,Others,OUT049,1999,Tier 1,Supermarket Type1,1120.5414
DRF13,Low Fat,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,2612.5992
FDK25,Regular,Breakfast,OUT017,2007,Tier 2,Supermarket Type1,4548.0798
FDZ38,Low Fat,Dairy,OUT017,2007,Tier 2,Supermarket Type1,5863.0348
NCQ42,Low Fat,Household,OUT019,1985,Tier 1,Grocery Store,254.3356
FDM14,Low Fat,Canned,OUT027,1985,Tier 3,Supermarket Type3,2713.135
FDC20,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,447.4176
FDW32,Regular,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,1631.8758
FDQ19,Regular,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,5331.7264
FDE08,Low Fat,Fruits and Vegetables,OUT049,1999,Tier 1,Supermarket Type1,3563.3616
FDC29,Regular,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,1603.2464
FDV50,Low Fat,Dairy,OUT013,1987,Tier 3,Supermarket Type1,2709.806
FDF11,Regular,Starchy Foods,OUT017,2007,Tier 2,Supermarket Type1,4086.0146
FDN09,Low Fat,Snack Foods,OUT018,2009,Tier 3,Supermarket Type2,1705.7796
DRG37,Low Fat,Soft Drinks,OUT045,2002,Tier 2,Supermarket Type1,1402.1748
NCV06,Low Fat,Household,OUT027,1985,Tier 3,Supermarket Type3,7168.6686
DRJ13,Low Fat,Soft Drinks,OUT010,1998,Tier 3,Grocery Store,962.7468
DRF25,Low Fat,Soft Drinks,OUT027,1985,Tier 3,Supermarket Type3,1281.665
FDE53,Low Fat,Frozen Foods,OUT010,1998,Tier 3,Grocery Store,426.112
FDS08,Low Fat,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,1764.37
FDO23,Low Fat,Breads,OUT017,2007,Tier 2,Supermarket Type1,1701.7848
FDT07,Regular,Fruits and Vegetables,OUT046,1997,Tier 1,Supermarket Type1,4357.661
NCX29,Low Fat,Health and Hygiene,OUT035,2004,Tier 2,Supermarket Type1,3207.8244
FDG22,Regular,Snack Foods,OUT035,2004,Tier 2,Supermarket Type1,732.38
DRJ47,Low Fat,Hard Drinks,OUT027,1985,Tier 3,Supermarket Type3,6751.212
FDL43,Low Fat,Meat,OUT013,1987,Tier 3,Supermarket Type1,306.268
FDZ43,Regular,Fruits and Vegetables,OUT027,1985,Tier 3,Supermarket Type3,8239.9408
FDZ21,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,193.082
FDJ50,Low Fat,Canned,OUT035,2004,Tier 2,Supermarket Type1,1209.7586
FDV35,Low Fat,Breads,OUT046,1997,Tier 1,Supermarket Type1,3878.285
FDW56,Low Fat,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,2693.8268
DRL35,Low Fat,Hard Drinks,OUT045,2002,Tier 2,Supermarket Type1,649.155
FDR01,Regular,Canned,OUT045,2002,Tier 2,Supermarket Type1,4777.7808
FDS24,Regular,Baking Goods,OUT045,2002,Tier 2,Supermarket Type1,1416.8224
NCL17,Low Fat,Health and Hygiene,OUT017,2007,Tier 2,Supermarket Type1,2422.1804
FDS13,Low Fat,Canned,OUT018,2009,Tier 3,Supermarket Type2,2914.8724
FDB59,Low Fat,Snack Foods,OUT045,2002,Tier 2,Supermarket Type1,2380.9008
FDW26,Regular,Dairy,OUT027,1985,Tier 3,Supermarket Type3,1556.6404
FDQ12,Low Fat,Baking Goods,OUT019,1985,Tier 1,Grocery Store,689.103
FDX59,Low Fat,Breads,OUT013,1987,Tier 3,Supermarket Type1,373.5138
FDL36,Low Fat,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,539.298
FDQ55,Regular,Fruits and Vegetables,OUT018,2009,Tier 3,Supermarket Type2,1612.5676
FDV46,Low Fat,Snack Foods,OUT019,1985,Tier 1,Grocery Store,559.272
FDM28,Low Fat,Frozen Foods,OUT019,1985,Tier 1,Grocery Store,179.766
FDT40,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,763.0068
DRJ11,Low Fat,Hard Drinks,OUT010,1998,Tier 3,Grocery Store,756.3488
FDD51,Low Fat,Dairy,OUT045,2002,Tier 2,Supermarket Type1,181.0976
NCT17,Low Fat,Health and Hygiene,OUT027,1985,Tier 3,Supermarket Type3,6029.4848
NCW17,Low Fat,Health and Hygiene,OUT046,1997,Tier 1,Supermarket Type1,3083.9856
NCY29,Low Fat,Health and Hygiene,OUT019,1985,Tier 1,Grocery Store,113.186
DRH36,Low Fat,Soft Drinks,OUT013,1987,Tier 3,Supermarket Type1,2087.9488
FDB17,Low Fat,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,2535.3664
NCA17,Low Fat,Health and Hygiene,OUT013,1987,Tier 3,Supermarket Type1,1789.6704
FDT27,Regular,Meat,OUT046,1997,Tier 1,Supermarket Type1,4687.232
FDR32,Regular,Fruits and Vegetables,OUT013,1987,Tier 3,Supermarket Type1,3425.541
FDG41,Regular,Frozen Foods,OUT049,1999,Tier 1,Supermarket Type1,1657.842
FDX25,Low Fat,Canned,OUT046,1997,Tier 1,Supermarket Type1,3101.2964
FDG56,Regular,Fruits and Vegetables,OUT017,2007,Tier 2,Supermarket Type1,1347.5792
FDN16,Regular,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,2270.378
FDD47,Regular,Starchy Foods,OUT035,2004,Tier 2,Supermarket Type1,2556.672
FDR12,Regular,Baking Goods,OUT013,1987,Tier 3,Supermarket Type1,3779.0808
FDS33,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,1505.3738
NCC55,Low Fat,Household,OUT035,2004,Tier 2,Supermarket Type1,782.9808
FDA38,Low Fat,Dairy,OUT019,1985,Tier 1,Grocery Store,480.7076
FDK44,Low Fat,Fruits and Vegetables,OUT035,2004,Tier 2,Supermarket Type1,1911.5118
FDZ57,Regular,Snack Foods,OUT046,1997,Tier 1,Supermarket Type1,642.497
NCN14,Low Fat,Others,OUT017,2007,Tier 2,Supermarket Type1,1470.0864
NCB06,Low Fat,Health and Hygiene,OUT010,1998,Tier 3,Grocery Store,159.792
DRL01,Regular,Soft Drinks,OUT049,1999,Tier 1,Supermarket Type1,6309.7866
FDU10,Regular,Snack Foods,OUT049,1999,Tier 1,Supermarket Type1,633.8416
NCS38,Low Fat,Household,OUT018,2009,Tier 3,Supermarket Type2,3091.9752
FDQ16,Low Fat,Frozen Foods,OUT013,1987,Tier 3,Supermarket Type1,1637.868
FDS40,Low Fat,Frozen Foods,OUT017,2007,Tier 2,Supermarket Type1,805.618
FDE36,Regular,Baking Goods,OUT017,2007,Tier 2,Supermarket Type1,3767.0964
FDV31,Low Fat,Fruits and Vegetables,OUT045,2002,Tier 2,Supermarket Type1,529.311
